,name,psnr,ssim
0,BSD68\test001,26.0039677650136,0.8353116531981802
1,BSD68\test002,30.359662555844405,0.9292634935329179
2,BSD68\test003,30.280756796043228,0.9336498619805513
3,BSD68\test004,30.892004928106303,0.9227221703945411
4,BSD68\test005,27.730989161472586,0.8885994251546053
5,BSD68\test006,33.19568141528328,0.9484954347515577
6,BSD68\test007,28.845977975671765,0.9019717720870002
7,BSD68\test008,26.33269076258269,0.8574342144366123
8,BSD68\test009,29.214146403386017,0.9088130962912876
9,BSD68\test010,29.902353287951247,0.9041426233578971
10,BSD68\test011,29.27463872487315,0.9314661175485661
11,BSD68\test012,28.5130781115749,0.8814976375928094
12,BSD68\test013,29.73489194890567,0.9028519778351495
13,BSD68\test014,31.050095615927336,0.9278012013377969
14,BSD68\test015,27.35313838374391,0.8784849097774443
15,BSD68\test016,28.374992132453794,0.9183741499179272
16,BSD68\test017,33.109537059530695,0.9377677582813359
17,BSD68\test018,33.242318239392525,0.9501853040592987
18,BSD68\test019,28.402268195868917,0.8950930127518066
19,BSD68\test020,29.047087652337087,0.9182953273565827
20,BSD68\test021,26.518857421366718,0.9201136550931936
21,BSD68\test022,27.29018680574944,0.8855560397292377
22,BSD68\test023,29.082591753526557,0.9250168715088285
23,BSD68\test024,28.869045182218777,0.9208998750334465
24,BSD68\test025,29.62163729037259,0.9470696105617995
25,BSD68\test026,28.70642384587976,0.8898868277177706
26,BSD68\test027,30.19753964303145,0.9125662534228349
27,BSD68\test028,33.30144013654534,0.9437646994427635
28,BSD68\test029,24.54281592224037,0.8822348327014427
29,BSD68\test030,30.03197552375276,0.9003049571075247
30,BSD68\test031,24.734980561502443,0.8650601375926211
31,BSD68\test032,26.73965965374968,0.8783533160790633
32,BSD68\test033,28.029058466669316,0.9341960009202671
33,BSD68\test034,33.77717583599416,0.9466935976746382
34,BSD68\test035,28.22621646030502,0.8836987924506254
35,BSD68\test036,27.64626825582573,0.7620505414978125
36,BSD68\test037,28.69451366154818,0.872538743143575
37,BSD68\test038,29.316130892669165,0.8929040685619997
38,BSD68\test039,33.530602431318684,0.9610981380958902
39,BSD68\test040,29.592137694779762,0.8982124620417336
40,BSD68\test041,28.163696817619805,0.893167963822942
41,BSD68\test042,29.85802667689382,0.9100101009156264
42,BSD68\test043,30.64970406675956,0.9418614071356854
43,BSD68\test044,27.997292551562012,0.9086706731579163
44,BSD68\test045,33.81759776897011,0.9401498223925163
45,BSD68\test046,26.54157776938461,0.8714106006463196
46,BSD68\test047,26.75810171831515,0.8649518071387676
47,BSD68\test048,30.24181636216648,0.9540884485775439
48,BSD68\test049,31.67062970284411,0.9173708041221802
49,BSD68\test050,27.02686747511002,0.8659285616080459
50,BSD68\test051,28.767164866939076,0.8984948019247594
51,BSD68\test052,32.250419579406795,0.9234236199733562
52,BSD68\test053,31.287410802807138,0.8945837401417528
53,BSD68\test054,29.388642397975456,0.9088628200359933
54,BSD68\test055,27.767163086617472,0.8781152963717044
55,BSD68\test056,24.138762110389806,0.8315986604930401
56,BSD68\test057,28.438286032599454,0.8854181589433805
57,BSD68\test058,31.022947219853357,0.8965695240510226
58,BSD68\test059,30.560028913177575,0.8936571923870777
59,BSD68\test060,31.13606100333756,0.9046953676218877
60,BSD68\test061,30.383581699433467,0.9036887628512662
61,BSD68\test062,34.371674787679275,0.9716082024486421
62,BSD68\test063,26.694486845859572,0.8868100812083376
63,BSD68\test064,26.832503310598852,0.8344029863536709
64,BSD68\test065,29.095383675240342,0.9004833785544847
65,BSD68\test066,38.56493932810916,0.9876853439507554
66,BSD68\test067,24.835090116691504,0.8909797969567611
67,BSD68\test068,26.263509929083725,0.9028777678729957
68,Average,29.321072076035794,0.903764797848226
