,name,psnr,ssim
0,Set68\test001,28.282917344479777,0.8926773391103404
1,Set68\test002,32.478090850252585,0.9525952300406575
2,Set68\test003,32.32251971114009,0.9493957797166488
3,Set68\test004,32.93662916559193,0.9470135720963438
4,Set68\test005,30.06482056336212,0.9310742880657225
5,Set68\test006,34.755465939112995,0.9604207241461221
6,Set68\test007,31.12365855973249,0.9366179211208645
7,Set68\test008,28.92601140113445,0.9138343073702554
8,Set68\test009,31.39040851445586,0.9397494843349655
9,Set68\test010,32.056769413939215,0.9355122987610285
10,Set68\test011,31.410834166594178,0.9531224693494506
11,Set68\test012,30.820340034435397,0.9248890030377083
12,Set68\test013,31.805049660623922,0.93567679412827
13,Set68\test014,32.924500589504945,0.947164724851938
14,Set68\test015,29.81442638031981,0.9225463936663802
15,Set68\test016,30.742779832535597,0.9480478289440242
16,Set68\test017,34.60794427107793,0.9517559250405069
17,Set68\test018,34.7960152155847,0.9607509665730987
18,Set68\test019,30.591318214261584,0.9302214150787644
19,Set68\test020,31.413973819261084,0.942761033331203
20,Set68\test021,29.29470452938324,0.9526064924655516
21,Set68\test022,29.60236287626637,0.9279187777766418
22,Set68\test023,31.57373219107398,0.9514705632107361
23,Set68\test024,31.210583364974095,0.9491899636860088
24,Set68\test025,31.97352213001677,0.9646726803107714
25,Set68\test026,30.827626242390384,0.9266504435842785
26,Set68\test027,32.19699249595183,0.9384568381031715
27,Set68\test028,35.308255656715005,0.9604498120203109
28,Set68\test029,27.482695658122886,0.9351679767350844
29,Set68\test030,32.19368002005257,0.9339314629422634
30,Set68\test031,27.47252281343876,0.9263569000682736
31,Set68\test032,29.271664753349892,0.930011004084242
32,Set68\test033,30.50376919370057,0.9579464095836021
33,Set68\test034,34.944488675055396,0.9543916647627443
34,Set68\test035,30.4148617198619,0.9243107713896012
35,Set68\test036,28.93078073788862,0.8208657344982729
36,Set68\test037,30.571497212250666,0.9143656803173061
37,Set68\test038,31.468718291825645,0.9299803802624933
38,Set68\test039,35.1903469938063,0.9687225714749049
39,Set68\test040,31.418761907921965,0.9224039461615036
40,Set68\test041,30.361414729610573,0.931032148277195
41,Set68\test042,31.81762813113835,0.9326544309986966
42,Set68\test043,32.85364880199203,0.9591422242756593
43,Set68\test044,30.285907883111687,0.943441592038294
44,Set68\test045,34.990473469151276,0.9518850509200515
45,Set68\test046,29.047227925288354,0.9197700645432362
46,Set68\test047,29.20643537038421,0.9189185985089536
47,Set68\test048,32.582817528942314,0.9684972660398812
48,Set68\test049,33.25574830150813,0.9364170517477508
49,Set68\test050,29.24914319713075,0.9140973233676091
50,Set68\test051,30.917068842241587,0.9298117154765385
51,Set68\test052,33.67750342001721,0.9396011046775502
52,Set68\test053,32.74746470341885,0.9196836124589685
53,Set68\test054,31.48582486204724,0.9377197560680601
54,Set68\test055,30.116519963572653,0.923844480079631
55,Set68\test056,26.903028809486162,0.911439097699935
56,Set68\test057,30.616903110591323,0.9283903191446767
57,Set68\test058,32.44080838268787,0.9214581613313103
58,Set68\test059,32.0393082515982,0.9196813852936959
59,Set68\test060,32.78407861296576,0.9283468068550439
60,Set68\test061,32.290694211597966,0.9303152108715627
61,Set68\test062,35.835277853208034,0.9749979856231293
62,Set68\test063,29.251626053353487,0.9330710396159765
63,Set68\test064,28.94142387960202,0.893550873598726
64,Set68\test065,31.29141331137733,0.932816333461352
65,Set68\test066,39.362577198978215,0.9851013708712948
66,Set68\test067,27.559478984618426,0.9396381207187615
67,Set68\test068,29.038292396535546,0.945737899710682
68,Average,31.412732048494163,0.935834685242298
