,name,psnr,ssim
0,Kodak24\kodim01,27.86014444092944,0.8822992467199562
1,Kodak24\kodim02,31.451228850582332,0.9064624095656993
2,Kodak24\kodim03,33.974862793212814,0.9534784114669069
3,Kodak24\kodim04,32.08101687854147,0.9176648615771285
4,Kodak24\kodim05,28.41383728602953,0.9205702904947545
5,Kodak24\kodim06,29.459158947493336,0.9027577866765336
6,Kodak24\kodim07,32.54762591569688,0.9583238953284104
7,Kodak24\kodim08,28.539015604618463,0.9304810563092341
8,Kodak24\kodim09,33.55293299595424,0.958581260271974
9,Kodak24\kodim10,33.083948247034286,0.9479499426858261
10,Kodak24\kodim11,29.770268515424423,0.9076999030957241
11,Kodak24\kodim12,32.44247975340766,0.9245675526895017
12,Kodak24\kodim13,26.475557906642273,0.8639302564767588
13,Kodak24\kodim14,28.860629663770723,0.8943487948806773
14,Kodak24\kodim15,30.861911222840583,0.9040201033931744
15,Kodak24\kodim16,31.226113370876405,0.9117706587211961
16,Kodak24\kodim17,31.129359065208565,0.9221224279831115
17,Kodak24\kodim18,28.84910783228047,0.8956370398536174
18,Kodak24\kodim19,31.007887475191364,0.9379598175499358
19,Kodak24\kodim20,32.811942145050374,0.9469875311622659
20,Kodak24\kodim21,29.85254829127555,0.9285702886043824
21,Kodak24\kodim22,30.337517245475027,0.9034314188808241
22,Kodak24\kodim23,33.113523970516596,0.9520427434600244
23,Kodak24\kodim24,29.735114700815302,0.9186100403676543
24,Average,30.726572213286172,0.9204278224256361
